mp_id,formula,bg_eV,gap_type,ehull,stable,fold0,fold1,fold2,fold3,fold4
mp-1236147,K2LiS2(O2F)2,0.8435,Indirect,0.2425,Unstable,val,train,test,val,train
mp-1235827,K2LiS2(O2F)2,0.8359,Indirect,0.2449,Unstable,train,train,train,val,test
mp-1194885,Na3VS2(O4F)2,2.4277,Indirect,0.0,Stable,val,test,val,val,train
mp-1194982,Na3FeS2(O4F)2,2.5691,Direct,0.0,Stable,val,test,val,train,train
mp-1195590,Na3MnS2(O4F)2,1.418,Direct,0.0,Stable,test,train,train,train,train
mp-652068,KS2N(O2F)2,5.6585,Direct,0.0908,Stable,train,train,train,train,test
mp-720360,Na13Ca7S12Cl(O24F)2,5.1477,Indirect,0.006,Stable,train,train,train,train,test
mp-27717,As2S2F3,2.4626,Indirect,0.0703,Stable,train,test,train,train,train
mp-560021,AuS3(O3F)3,1.4998,Indirect,0.0,Stable,train,train,test,train,train
mp-769377,SbSO4F3,1.8907,Direct,0.0584,Stable,val,train,train,train,test
mp-768093,VSO4F3,0.9792,Indirect,0.0672,Stable,test,train,train,train,train
mp-1225708,Er3S2OF3,1.7451,Direct,0.0487,Stable,val,train,val,train,test
mp-769603,LiVSO4F3,1.2039,Indirect,0.0479,Stable,test,train,train,train,train
mp-1190551,Na2FeSO4F3,2.0527,Direct,0.0049,Stable,val,test,train,train,train
mp-1199926,Cs2MnSO4F3,0.0,Metal,0.0,Stable,train,train,train,test,train
mp-1212181,MnSN2O4F3,0.3744,Indirect,0.6857,Unstable,train,train,val,train,test
mp-19488,Rb2MnSO4F3,1.747,Indirect,0.0,Stable,test,train,train,train,train
mp-18838,K2MnSO4F3,1.5234,Indirect,0.0,Stable,train,test,train,train,train
mp-769602,Li2VSO4F3,2.2545,Indirect,0.0907,Stable,train,train,train,test,train
mp-557969,LiLa2S2O8F3,6.6249,Indirect,0.01,Stable,test,train,train,train,train
mp-560673,NaPr2S2O8F3,6.1633,Indirect,0.0,Stable,val,test,train,train,val
mp-554294,Na7SnS3(O4F)3,5.0262,Indirect,0.025,Stable,test,train,train,val,train
mp-554643,K2SbSO4F3,4.9328,Indirect,0.0,Stable,train,train,val,train,test
mp-769153,Li2SbSO4F3,4.4629,Indirect,0.0745,Stable,train,test,train,val,val
mp-1191673,Na2BSO4F3,5.7662,Indirect,0.0,Stable,train,train,train,val,test
mp-768092,LiVSO4F3,1.5414,Indirect,0.0589,Stable,train,train,train,train,test
mp-532575,Na13Ca7S12(O16F)3,5.2445,Indirect,0.002,Stable,test,train,train,train,train
mp-1203080,K2AlSO4F3,5.7847,Direct,0.0,Stable,train,train,test,val,train
mp-19304,K2MnSO4F3,1.3684,Direct,0.0009,Stable,train,train,train,train,test
mp-555002,LiEr2S2O8F3,6.176,Indirect,0.0142,Stable,test,train,train,train,train
mp-770642,Li2MnSO4F3,1.7329,Direct,0.0843,Stable,train,test,val,val,train
mp-1199815,SbSN2O4F3,1.1105,Indirect,0.9569,Unstable,train,train,train,test,train
mp-557006,Na2SbSO4F3,4.4339,Indirect,0.0,Stable,test,train,train,train,train
mp-769601,LiVSO4F3,1.4013,Indirect,0.0562,Stable,val,test,train,train,train
mp-1080739,Eu3(SF2)2,0.0,Metal,0.0,Stable,test,train,train,train,train
mp-1205247,MoSF4,2.8691,Direct,0.1439,Unstable,train,train,test,train,train
mp-28113,WSF4,3.3183,Direct,0.1419,Unstable,train,val,test,train,train
mp-560960,ReSF4,0.3651,Indirect,0.0063,Stable,train,val,test,train,train
mp-1218416,SrCe2(SF2)2,0.0,Metal,0.0088,Stable,train,train,train,test,train
mp-1201018,Ag3S4(O3F)4,0.0,Metal,0.0,Stable,test,train,train,train,train
mp-557161,Ba4Fe3(S3F2)2,1.2306,Direct,0.1462,Unstable,train,train,val,test,train
mp-554285,Na15S5Cl(O5F)4,4.9473,Indirect,0.0008,Stable,train,train,train,train,test
mp-1194736,Na5Mn3S4(O4F)4,1.7777,Direct,0.0,Stable,train,test,train,val,train
mp-679630,Ba2BeS(OF)4,3.816,Indirect,0.5561,Unstable,val,test,train,train,val
mp-1199018,Ba4CrGa2(S3F2)2,2.1491,Indirect,0.0499,Stable,train,train,train,train,test
mp-1204862,Ba4Ga2Fe(S3F2)2,2.4483,Direct,0.1546,Unstable,val,train,train,test,train
mp-1204819,Ba4MnIn2(S3F2)2,2.0034,Indirect,0.1535,Unstable,train,train,val,test,val
mp-1197784,Ba4MnGa2(S3F2)2,2.9405,Indirect,0.0,Stable,train,test,train,train,train
mp-28555,RbSF5,4.7124,Direct,0.0,Stable,val,train,train,test,train
mp-1046702,MgCrSF5,1.2534,Indirect,0.2363,Unstable,test,train,train,train,train
mp-1046709,ZnCrSF5,1.2455,Indirect,0.1985,Unstable,train,test,train,train,train
mp-1046747,MgVSF5,0.2898,Indirect,0.379,Unstable,train,test,train,train,train
mp-1323771,MgCrSF5,0.0512,Indirect,3.0918,Unstable,val,train,train,test,train
mp-559296,AsS4N4F5,1.7123,Indirect,0.2687,Unstable,train,val,train,train,test
mp-555255,SbSNF5,2.2156,Indirect,0.1002,Unstable,train,train,train,train,test
mp-558254,AsS4N4F5,1.92,Indirect,0.2686,Unstable,train,train,train,val,test
mp-560066,SbSO2F5,3.4487,Indirect,0.0362,Stable,test,train,train,train,train
mp-1369435,VZnSF5,0.0,Metal,0.0687,Stable,train,train,test,train,train
mp-1216106,Y3SOF5,3.5401,Direct,0.0092,Stable,val,train,train,train,test
mp-1217635,Tb3SOF5,3.588,Direct,0.0054,Stable,train,train,test,train,val
mp-1220289,Nd3SOF5,3.4275,Direct,0.0318,Stable,val,val,test,train,train
mp-1219205,Sm3SOF5,3.5041,Direct,0.0008,Stable,train,test,val,train,train
mp-1224058,Ho3SOF5,3.6385,Direct,0.0102,Stable,train,test,train,train,train
mp-1224717,Gd3SOF5,1.9623,Indirect,0.0,Stable,train,test,train,train,train
mp-1225346,Dy3SOF5,3.6131,Direct,0.0063,Stable,test,train,train,train,train
mp-1023371,Sn4SF6,0.0,Metal,2.8154,Unstable,test,train,val,train,train
mp-1013726,Cd4SF6,2.1914,Direct,0.0266,Stable,train,train,train,test,train
mp-27578,As(S2F3)2,1.2407,Indirect,0.0,Stable,train,train,train,train,test
mp-1021490,Sn4SF6,2.6861,Indirect,0.0438,Stable,train,train,val,train,test
mp-1021492,Cd4SF6,0.7836,Direct,0.0277,Stable,train,train,train,val,test
mp-1013750,Sn4SF6,2.5945,Direct,0.0446,Stable,train,train,train,test,train
mp-12368,SbS2NF6,2.6713,Direct,0.0961,Stable,train,test,train,train,train
mp-8500,AsS2NF6,2.608,Indirect,0.1084,Unstable,train,train,val,test,val
mp-560180,AsS4N5F6,2.5059,Indirect,0.3528,Unstable,train,test,train,train,train
mp-555288,SbS(BrF2)3,2.532,Indirect,0.0,Stable,train,train,train,test,train
mp-558466,AsS(BrF2)3,2.5087,Indirect,0.0,Stable,train,test,val,train,train
mp-560042,AsS3(NF3)2,1.5036,Indirect,0.1717,Unstable,val,train,test,train,train
mp-556837,AgAs(S8F3)2,2.765,Indirect,0.0,Stable,train,train,test,val,train
mp-557628,AsS(IF3)2,1.1714,Indirect,0.0,Stable,train,val,train,train,test
mp-558583,AsS6N5F6,1.8088,Direct,0.366,Unstable,train,test,train,train,train
mp-559602,AgSb(S8F3)2,2.7813,Indirect,0.0,Stable,train,train,train,train,test
mp-555194,SiHg3(SF3)2,2.7984,Indirect,0.0,Stable,train,train,test,train,train
mp-555408,SbS7IF6,2.0126,Direct,0.1996,Unstable,train,train,train,test,train
mp-556705,AsS(ClF2)3,3.7948,Indirect,0.0,Stable,train,train,test,train,train
mp-560639,SbS(BrF2)3,2.6548,Indirect,0.0012,Stable,train,val,train,train,test
mp-23112,AsS3(ClF2)3,0.0,Metal,0.1037,Unstable,train,train,train,test,train
mp-2932665,Cu2Hg2SF6,0.4967,Indirect,0.0,Stable,train,train,train,val,test
mp-554289,AsS3(NF3)2,0.5875,Indirect,0.1838,Unstable,val,test,val,val,train
mp-637112,AsS7IF6,1.8307,Indirect,0.1855,Unstable,train,train,test,val,train
mp-1246700,Ca2Ni2SF6,3.2989,Direct,0.4363,Unstable,test,train,train,train,val
mp-18626,Ni2Hg2SF6,0.0,Metal,0.0,Stable,train,test,train,train,train
mp-17745,Mn2Hg2SF6,0.0,Metal,0.0,Stable,train,train,train,test,train
mp-6820,Cu2Hg2SF6,0.0,Metal,0.0172,Stable,train,train,train,train,test
mp-560107,SbAs3(S2F3)2,2.4223,Indirect,0.0458,Stable,train,train,val,test,train
mp-683956,SbSNF6,3.3498,Indirect,0.1398,Unstable,test,val,train,train,train
mp-769588,Li3V2S2(O4F3)2,1.0429,Indirect,0.0725,Stable,train,train,test,val,val
mp-2217837,MgSbS2NF6,0.6807,Indirect,0.412,Unstable,train,val,train,test,train
mp-1199019,AgSbS(OF3)2,2.5554,Indirect,0.0,Stable,train,train,train,test,train
mp-1214996,AsSeS2(NF3)2,1.5211,Indirect,0.1652,Unstable,test,train,train,train,val
mp-557904,SbSe2S(NF3)2,1.5584,Indirect,0.1303,Unstable,train,train,test,train,train
mp-557470,K2Sb2S(O2F3)2,0.0,Metal,0.0,Stable,train,train,test,train,train
mp-560986,AsSe2S(NF3)2,1.5718,Indirect,0.1295,Unstable,train,train,train,val,test
mp-505281,CsSbS6(O3F)6,2.6292,Indirect,0.0,Stable,test,train,train,train,train
mp-622197,Cs2PtS6(O3F)6,2.1952,Indirect,0.0,Stable,train,train,train,test,train
mp-680169,Na21S7Cl(O14F3)2,4.9055,Direct,0.0,Stable,test,train,train,train,val
mp-2217781,MgSbS2NF6,2.1246,Indirect,0.3052,Unstable,train,train,train,train,test
mp-556154,AsSeS3N5F6,2.5393,Indirect,0.36,Unstable,test,train,train,train,train
mp-769600,LiV2S2(O4F3)2,1.1574,Indirect,0.0553,Stable,train,test,train,train,train
mp-1200466,Rb2Sb2SO5F6,0.0423,Indirect,0.2567,Unstable,val,train,val,test,train
mp-1213742,Cs2Sb2SO5F6,0.3019,Direct,0.2672,Unstable,val,test,train,train,train
mp-1209560,Sb2SN2O5F6,0.0,Metal,1.0132,Unstable,train,test,train,train,train
mp-695699,Te2AsS4N4(ClF2)3,0.7743,Indirect,0.3921,Unstable,train,train,train,train,test
mp-560589,NbSe2SN2ClF6,2.2159,Direct,0.104,Unstable,train,train,train,val,test
mp-561321,AsSeS2N2ClF6,2.2285,Indirect,0.1462,Unstable,train,train,train,test,train
mp-1196797,AgAsS16N16(O4F3)2,1.8455,Indirect,0.4817,Unstable,train,test,train,train,train
mp-649756,AgAsS6N4(OF3)2,1.8836,Direct,0.2635,Unstable,val,train,train,train,test
mp-1197121,SbSO2F7,3.4888,Indirect,0.0435,Stable,test,train,train,train,train
mp-1234900,MgS8(O5F2)4,3.0932,Indirect,0.0846,Stable,val,val,test,train,train
mp-1233665,MgS8(O5F2)4,2.7551,Indirect,0.1461,Unstable,train,val,test,train,train
mp-1219884,Pr6S3(OF4)2,2.6461,Direct,0.0,Stable,test,train,train,train,train
mp-1220263,Nd6S3(OF4)2,2.669,Direct,0.0266,Stable,test,train,train,train,train
mp-1223425,La6S3(OF4)2,2.6035,Direct,0.0,Stable,val,test,train,train,train
mp-1224731,Gd6S3(OF4)2,1.5214,Indirect,0.1,Stable,train,test,train,train,val
mp-1234712,MgS8(O5F2)4,0.3839,Indirect,0.1783,Unstable,train,test,train,train,train
mp-41092,AsSClOF8,4.0322,Indirect,0.0305,Stable,train,train,train,test,train
mp-1198254,Ca3Al2S(OF)8,0.691,Direct,0.3398,Unstable,train,test,train,train,train
mp-1194939,Na12Mn3S6(O3F)8,0.5619,Indirect,0.0,Stable,val,train,train,test,train
mp-1342613,Na12Mn3S6(O3F)8,0.0,Metal,5.3169,Unstable,test,train,train,train,train
mp-1229176,AsSClOF8,3.8372,Indirect,0.0282,Stable,train,val,test,train,val
mp-603276,NaSr7Cu8(SF)8,0.0,Metal,0.0066,Stable,train,train,train,train,test
mp-556515,AsSOF9,3.9591,Direct,0.0466,Stable,train,val,test,train,train
mp-695196,AsS2N2OF9,0.3272,Indirect,0.5509,Unstable,train,train,test,train,train
mp-1211985,K3Zr2S(O2F3)3,0.3535,Indirect,0.1794,Unstable,train,test,val,train,train
mp-560077,AsSXe2(OF3)3,2.2156,Indirect,0.0422,Stable,train,test,train,train,train
mp-556406,AsS2NF10,4.545,Indirect,0.0402,Stable,train,test,train,train,val
mp-1204134,Ba9In4(SF)10,2.2503,Direct,0.0284,Stable,test,train,train,train,train
mp-1203746,AsSXeNF10,2.5478,Indirect,0.285,Unstable,val,train,val,test,train
mp-541094,Ta2Hg3S(O2F5)2,2.4645,Indirect,0.0,Stable,train,train,test,train,val
mp-541093,Nb2Hg3S(O2F5)2,2.3509,Indirect,0.0,Stable,train,test,train,train,train
mp-554788,AsSXeNF10,2.9961,Direct,0.3,Unstable,train,train,test,train,val
mp-560450,Sb2SNF11,3.5694,Direct,0.0853,Stable,test,train,train,train,train
mp-723419,Sb2S19F12,1.9679,Indirect,0.0,Stable,train,train,train,train,test
mp-28291,Ge(SF6)2,4.9705,Indirect,0.0,Stable,test,train,train,train,train
mp-662789,Te3As2(SF4)3,2.0842,Direct,0.0868,Stable,train,train,train,train,test
mp-541204,As2S3(NF6)2,2.2041,Indirect,0.1068,Unstable,test,train,train,train,train
mp-1006611,Sb4S3N6(OF)12,0.0,Metal,0.9499,Unstable,train,test,train,train,train
mp-1247820,As2S5N4(OF6)2,0.5332,Indirect,0.536,Unstable,train,train,test,train,train
mp-1198499,CoAs2S4(O2F3)4,2.5374,Indirect,0.0656,Stable,val,test,train,train,train
mp-1201031,ZnAs2S4(O2F3)4,3.2295,Indirect,0.0317,Stable,train,train,train,test,train
mp-1204738,FeAs2S4(O2F3)4,3.2335,Indirect,0.0967,Stable,val,train,train,test,train
mp-1229221,As2Se3S3(NF3)4,1.5494,Indirect,0.1476,Unstable,test,train,train,train,train
mp-556926,CuAs2S4(O2F3)4,0.7933,Indirect,0.0311,Stable,train,val,test,train,train
mp-559097,NiAs2S6(OF)12,1.627,Indirect,0.02,Stable,train,train,train,val,test
mp-555121,MgAs2S2(OF3)4,3.5869,Indirect,0.0517,Stable,train,test,train,val,val
mp-561487,Te4As2S(OF6)2,1.2366,Indirect,0.1278,Unstable,test,train,train,val,val
mp-651154,Te4As2S5(OF6)2,0.0,Metal,0.1697,Unstable,train,train,train,train,test
mp-560703,Te3As2S(OF6)2,2.0331,Indirect,0.1324,Unstable,train,train,test,train,val
mp-562774,CoSb2S2(OF3)4,3.1386,Indirect,0.0012,Stable,train,test,train,train,val
mp-542064,MnAs2S2(OF3)4,1.8017,Indirect,0.0404,Stable,train,val,train,test,train
mp-558288,CdAs2S2(OF3)4,3.4985,Direct,0.0379,Stable,train,train,train,train,test
mp-541335,As2Se2S(NF6)2,2.2799,Indirect,0.112,Unstable,test,train,train,train,train
mp-557791,Te4As2S(OF6)2,1.2491,Indirect,0.1236,Unstable,train,train,test,train,train
mp-1101144,Te2As2SI6(OF6)2,0.1269,Indirect,0.3312,Unstable,test,train,train,train,train
mp-706456,Te2As2SI6(OF6)2,0.08,Indirect,0.3835,Unstable,train,train,train,train,test
mp-557236,Te2As2Se8S(OF6)2,1.4407,Indirect,0.0,Stable,train,test,train,train,train
mp-557010,CdAs2S18N12(OF2)6,2.195,Indirect,0.3012,Unstable,test,train,train,train,val
mp-1201063,AsS2XeN2F13,2.793,Indirect,0.3361,Unstable,test,train,val,train,train
mp-560084,NiAs2S6N4(OF2)8,3.0622,Indirect,0.1952,Unstable,test,val,train,train,train
mp-1204693,Ba18In8(S7F6)3,2.2909,Direct,0.0074,Stable,test,train,train,val,train
mp-1203902,CoAs2S6(NF3)6,1.9483,Direct,0.2059,Unstable,test,train,train,train,train
mp-558770,NiAs2S6(NF3)6,2.435,Indirect,0.2095,Unstable,train,test,train,train,train
mp-1197776,FeTe3S3Cl3(OF2)9,3.0463,Indirect,0.0538,Stable,val,train,train,train,test
mp-650524,Sb3S2XeN(O2F9)2,1.6989,Indirect,0.1406,Unstable,train,train,train,test,train
mp-573010,MnAs2S4(NF6)4,3.5362,Direct,0.1882,Unstable,train,test,train,train,train
mp-554195,Sb3As2S14(IF8)3,1.8401,Direct,0.1409,Unstable,train,test,train,train,train
mp-559978,CuAs2S8N8(OF7)4,1.1666,Indirect,0.2436,Unstable,train,train,test,train,train
mp-555028,AgSbTe6S16(OF5)6,0.8025,Indirect,0.1354,Unstable,train,train,train,train,test
mp-560359,SbTe7SXeCl(OF4)9,1.5664,Indirect,0.0432,Stable,train,test,val,train,train
mp-581488,SbTe7SXeCl(OF4)9,1.4924,Indirect,0.0432,Stable,test,train,val,train,train
mp-14673,Sb9S4F39,1.7301,Direct,0.0,Stable,train,train,train,test,train
mp-556278,Bi6As9Se4S10(O4F13)5,2.0161,Indirect,0.0369,Stable,train,val,train,test,train
mp-1147671,CuSCl,0.0,Metal,0.0668,Stable,train,train,test,train,train
mp-31263,In5S5Cl,1.2286,Indirect,0.0,Stable,train,train,test,train,train
mp-30099,PdSCl,1.1221,Indirect,0.0204,Stable,train,train,train,train,test
mp-560901,PdSCl,0.9647,Indirect,0.0,Stable,train,val,train,test,train
mp-561307,DySCl,2.7618,Indirect,0.0,Stable,train,train,train,test,train
mp-653579,Re3S4Cl,1.6748,Indirect,0.0,Stable,train,train,train,test,train
mp-1210546,MoSCl,0.8894,Indirect,0.0214,Stable,train,test,train,train,train
mp-1210046,PrSCl,2.6929,Indirect,0.0262,Stable,train,train,test,train,train
mp-772534,LaSCl,2.5588,Indirect,0.0196,Stable,train,train,train,train,test
mp-1013900,TiSCl,0.0,Metal,0.0096,Stable,train,train,test,train,train
