mp_id,formula,bg_eV,gap_type,gt_code,ehull,stable,fold0,fold1,fold2,fold3,fold4
mp-766031,,5.0378,Indirect,1,0.0072,Stable,train,val,train,test,train
mp-1198138,,4.0695,Indirect,1,0.0034,Stable,val,test,train,train,train
mp-1238095,,3.3794,Direct,0,0.1395,Unstable,test,train,train,val,train
mp-746580,,0.2696,Indirect,1,0.1619,Unstable,train,train,train,train,test
mp-557227,KCa12Si4S2O26F,4.2813,Indirect,1,0.0008,Stable,val,train,test,train,train
mp-1181947,,4.2701,Direct,0,0.0901,Stable,train,test,train,train,val
mp-707774,,0.7024,Direct,0,0.372,Unstable,train,val,train,train,test
mp-723282,,2.1873,Direct,0,0.9236,Unstable,val,test,val,val,val
mp-1199984,,2.2123,Indirect,1,0.0515,Stable,test,train,train,train,train
mp-1222063,,1.0961,Indirect,1,0.037,Stable,train,train,val,train,test
mp-707264,,0.4797,Indirect,1,0.0383,Stable,train,val,train,train,test
mp-28676,,5.5878,Direct,0,0.0,Stable,train,train,train,test,train
mp-28257,,5.2887,Direct,0,0.0,Stable,train,train,train,test,train
mp-7580,Hg3(SF)2,1.8372,Indirect,1,0.0,Stable,train,test,val,train,train
mp-8537,,5.8812,Indirect,1,0.0,Stable,val,train,train,test,train
mp-1228621,Ba2S2O3F2,2.367,Direct,0,0.2526,Unstable,train,train,train,train,test
mp-1194972,,1.9408,Indirect,1,0.009,Stable,train,train,train,train,test
mp-1202574,AgS2(O3F)2,0.1878,Direct,0,0.0,Stable,train,test,train,train,val
mp-554599,SnS2(O3F)2,4.3518,Indirect,1,0.0047,Stable,train,train,train,train,test
mp-642795,,4.5687,Indirect,1,0.0,Stable,test,train,val,train,train
mp-1191332,CsS2(O3F)2,0.3033,Indirect,1,0.0,Stable,train,test,train,train,train
mp-557531,Pb2S(O2F)2,3.7964,Direct,0,0.0,Stable,train,train,test,train,train
mp-559593,,2.5324,Indirect,1,0.3755,Unstable,train,test,train,train,train
mp-1179999,Pb10SO13F2,1.2446,Indirect,1,0.0365,Stable,train,train,train,train,test
mp-1188569,,0.8715,Indirect,1,0.2753,Unstable,train,val,test,train,train
mp-561117,,2.4934,Direct,0,0.0917,Stable,train,train,train,test,train
mp-17676,Sr2SnS3F2,2.0801,Direct,0,0.0,Stable,test,train,train,train,train
mp-17918,Ba2SnS3F2,2.4412,Direct,0,0.0,Stable,val,train,val,test,train
mp-1235086,K2LiS2(O2F)2,0.2739,Indirect,1,0.1839,Unstable,train,train,train,train,test
mp-1235206,K2LiS2(O2F)2,1.0342,Indirect,1,0.1887,Unstable,train,val,train,test,train
mp-1235506,K2LiS2(O2F)2,0.9722,Indirect,1,0.1929,Unstable,train,train,train,val,test
mp-1235317,K2LiS2(O2F)2,1.0414,Indirect,1,0.2071,Unstable,val,test,train,val,train
mp-1236214,K2LiS2(O2F)2,0.6569,Indirect,1,0.2376,Unstable,train,test,train,train,train
mp-1236687,K2LiS2(O2F)2,1.0017,Indirect,1,0.1966,Unstable,train,train,train,test,train
mp-2232163,MgFe2S2(O4F)2,3.7741,Indirect,1,0.1237,Unstable,test,train,train,train,train
mp-2232217,MgFe2S2(O4F)2,3.6246,Indirect,1,0.0919,Stable,val,train,test,train,train
mp-2232231,MgFe2S2(O4F)2,3.6659,Indirect,1,0.084,Stable,val,test,train,train,train
mp-551403,Ba2Fe2S2OF2,1.8181,Indirect,1,0.0264,Stable,train,train,train,val,test
mp-549237,Sr2Fe2S2OF2,1.4677,Indirect,1,0.0415,Stable,train,test,train,train,train
mp-1196019,NaS2N(O2F)2,5.5093,Direct,0,0.0855,Stable,train,val,train,test,train
mp-1196656,,3.4899,Indirect,1,0.1158,Unstable,train,train,test,train,train
mp-1196465,K2ZrS2(O5F)2,0.1913,Direct,0,0.2101,Unstable,train,test,train,train,train
mp-1199269,KS2N(O2F)2,5.4444,Indirect,1,0.0904,Stable,train,val,test,train,train
mp-1201634,NaS2N(O2F)2,5.3421,Indirect,1,0.0895,Stable,train,val,train,test,train
mp-541750,CsS2N(O2F)2,5.5362,Indirect,1,0.0773,Stable,test,train,train,train,val
mp-559393,,5.8248,Indirect,1,0.1713,Unstable,train,test,train,train,val
mp-566960,,2.4013,Indirect,1,0.1665,Unstable,test,train,train,val,train
mp-561001,,2.2391,Indirect,1,0.365,Unstable,test,train,val,train,val
mp-696993,,3.8681,Indirect,1,0.024,Stable,train,val,test,train,train
mp-863004,K2USO7F2,0.153,Indirect,1,0.1431,Unstable,val,train,train,train,test
mp-643586,,5.6738,Indirect,1,0.0,Stable,train,train,train,test,train
mp-1227873,Ca10Si3S3(O12F)2,4.4312,Direct,0,0.0203,Stable,train,test,train,train,train
mp-559971,LiS2N(O2F)2,5.9008,Indirect,1,0.0956,Stable,train,train,test,train,train
mp-1215742,,1.3358,Direct,0,1.2165,Unstable,train,train,train,test,train
mp-1222075,,1.3063,Indirect,1,1.3686,Unstable,test,train,train,train,train
mp-1227460,,1.6242,Indirect,1,1.3354,Unstable,test,train,val,train,train
mp-2232096,MgFe2S2(O4F)2,3.8031,Direct,0,0.0539,Stable,train,train,train,test,train
mp-648193,,3.8506,Direct,0,0.2741,Unstable,train,train,train,test,train
mp-1213195,CsSbS(O2F)2,4.6564,Indirect,1,0.0,Stable,train,train,train,train,test
mp-554732,RbSbS(O2F)2,4.6867,Indirect,1,0.0,Stable,train,test,train,val,train
mp-1105944,,5.8161,Indirect,1,0.0769,Stable,train,train,test,train,train
mp-698122,,0.8905,Indirect,1,0.6139,Unstable,train,train,test,train,train
mp-1236147,K2LiS2(O2F)2,0.8435,Indirect,1,0.2425,Unstable,train,train,train,test,train
mp-1235827,K2LiS2(O2F)2,0.8359,Indirect,1,0.2449,Unstable,train,train,train,train,test
mp-1194885,Na3VS2(O4F)2,2.4277,Indirect,1,0.0,Stable,test,train,val,train,train
mp-1194982,Na3FeS2(O4F)2,2.5691,Direct,0,0.0,Stable,train,train,train,train,test
mp-1195590,Na3MnS2(O4F)2,1.418,Direct,0,0.0,Stable,train,test,train,train,train
mp-652068,KS2N(O2F)2,5.6585,Direct,0,0.0908,Stable,train,val,train,val,test
mp-720360,Na13Ca7S12Cl(O24F)2,5.1477,Indirect,1,0.006,Stable,train,train,train,train,test
mp-558888,,4.8031,Indirect,1,0.2883,Unstable,train,train,test,train,val
mp-1195326,,4.8222,Direct,0,0.4443,Unstable,train,train,val,test,train
mp-1203356,,3.6948,Indirect,1,0.1686,Unstable,train,test,train,train,train
mp-1105350,,4.8046,Indirect,1,0.4461,Unstable,train,test,train,train,train
mp-1192972,,0.0392,Direct,0,1.9327,Unstable,val,train,train,test,val
mp-555146,,4.5234,Direct,0,0.3548,Unstable,train,test,train,train,train
mp-554187,,4.7744,Indirect,1,0.3255,Unstable,test,train,train,train,train
mp-643446,,5.364,Indirect,1,0.001,Stable,train,train,test,train,train
mp-27717,As2S2F3,2.4626,Indirect,1,0.0703,Stable,train,train,train,test,val
mp-1209117,,4.2402,Direct,0,0.3541,Unstable,train,train,test,val,val
mp-16813,,1.9675,Indirect,1,0.1912,Unstable,test,train,train,train,val
mp-560021,AuS3(O3F)3,1.4998,Indirect,1,0.0,Stable,test,train,train,train,train
mp-769377,SbSO4F3,1.8907,Direct,0,0.0584,Stable,test,train,train,val,train
mp-768093,VSO4F3,0.9792,Indirect,1,0.0672,Stable,test,train,train,val,train
mp-1225708,Er3S2OF3,1.7451,Direct,0,0.0487,Stable,train,val,train,test,train
mp-695305,,5.9224,Indirect,1,0.1466,Unstable,test,train,train,train,train
mp-769603,LiVSO4F3,1.2039,Indirect,1,0.0479,Stable,val,train,test,train,train
mp-1190551,Na2FeSO4F3,2.0527,Direct,0,0.0049,Stable,train,val,train,train,test
mp-1181304,,1.4496,Indirect,1,0.3582,Unstable,train,train,train,train,test
mp-1200256,,3.306,Indirect,1,0.1579,Unstable,train,train,test,train,train
mp-1201933,,6.9361,Direct,0,0.1814,Unstable,test,val,train,train,val
mp-1212181,MnSN2O4F3,0.3744,Indirect,1,0.6857,Unstable,test,train,train,train,train
mp-19488,Rb2MnSO4F3,1.747,Indirect,1,0.0,Stable,train,test,train,train,train
mp-18838,K2MnSO4F3,1.5234,Indirect,1,0.0,Stable,val,test,train,train,train
mp-24357,,6.3838,Indirect,1,0.1351,Unstable,train,train,train,test,train
mp-555309,,1.3824,Direct,0,0.3057,Unstable,train,train,train,test,train
mp-555625,,5.0565,Indirect,1,0.2092,Unstable,train,test,val,train,val
mp-555503,,3.634,Indirect,1,0.1446,Unstable,val,test,val,train,train
mp-558648,,4.6094,Direct,0,0.0802,Stable,train,test,train,val,val
mp-559873,,4.7392,Direct,0,0.2104,Unstable,train,val,train,test,train
mp-560139,,2.765,Indirect,1,0.355,Unstable,train,train,test,val,train
mp-636952,,6.6079,Indirect,1,0.1643,Unstable,train,test,train,train,train
mp-720860,,6.0024,Indirect,1,0.1167,Unstable,train,train,train,train,test
mp-706514,,6.2244,Indirect,1,0.1218,Unstable,train,train,train,test,train
mp-769602,Li2VSO4F3,2.2545,Indirect,1,0.0907,Stable,test,train,train,train,train
mp-1188917,,2.7068,Indirect,1,0.1527,Unstable,test,val,val,val,train
mp-555016,,3.2494,Indirect,1,0.3163,Unstable,val,train,test,train,train
mp-557969,LiLa2S2O8F3,6.6249,Indirect,1,0.01,Stable,train,val,test,train,val
mp-560673,NaPr2S2O8F3,6.1633,Indirect,1,0.0,Stable,val,test,train,train,train
mp-554294,Na7SnS3(O4F)3,5.0262,Indirect,1,0.025,Stable,test,val,train,train,train
mp-554643,K2SbSO4F3,4.9328,Indirect,1,0.0,Stable,train,val,test,train,val
mp-769153,Li2SbSO4F3,4.4629,Indirect,1,0.0745,Stable,train,train,train,test,train
mp-1181494,,2.0947,Indirect,1,0.2686,Unstable,train,test,train,train,train
mp-1191673,Na2BSO4F3,5.7662,Indirect,1,0.0,Stable,train,train,train,test,train
mp-1202796,,5.6433,Indirect,1,0.1032,Unstable,test,train,train,val,val
mp-560125,,3.3625,Indirect,1,0.1594,Unstable,train,train,test,train,train
mp-768092,LiVSO4F3,1.5414,Indirect,1,0.0589,Stable,train,val,train,train,test
mp-554592,,5.6075,Indirect,1,0.1269,Unstable,test,train,train,train,train
mp-559646,,5.3392,Direct,0,0.1335,Unstable,train,train,test,train,train
mp-6858,,5.7327,Indirect,1,0.1322,Unstable,train,train,test,train,train
mp-532575,Na13Ca7S12(O16F)3,5.2445,Indirect,1,0.002,Stable,train,train,val,test,val
mp-1203080,K2AlSO4F3,5.7847,Direct,0,0.0,Stable,train,train,train,train,test
mp-19304,K2MnSO4F3,1.3684,Direct,0,0.0009,Stable,test,train,val,train,train
mp-555002,LiEr2S2O8F3,6.176,Indirect,1,0.0142,Stable,train,test,train,train,train
mp-770642,Li2MnSO4F3,1.7329,Direct,0,0.0843,Stable,test,train,train,train,train
mp-1199815,SbSN2O4F3,1.1105,Indirect,1,0.9569,Unstable,train,train,train,train,test
mp-557006,Na2SbSO4F3,4.4339,Indirect,1,0.0,Stable,train,val,test,train,train
mp-769601,LiVSO4F3,1.4013,Indirect,1,0.0562,Stable,train,test,train,val,train
mp-672209,,5.564,Direct,0,0.141,Unstable,val,train,val,train,test
mp-707276,,4.267,Indirect,1,0.0,Stable,val,train,train,test,train
mp-1201229,,5.5535,Direct,0,0.7458,Unstable,train,train,train,test,train
mp-1203692,,1.58,Indirect,1,0.0234,Stable,test,train,train,train,val
mp-23777,,5.8094,Indirect,1,0.2716,Unstable,test,val,train,train,train
mp-555329,,1.5162,Direct,0,0.2588,Unstable,test,train,train,train,train
mp-601228,,3.1436,Indirect,1,0.7248,Unstable,train,train,train,train,test
mp-696485,,3.4852,Indirect,1,0.0165,Stable,train,train,train,train,test
mp-605808,,3.4853,Indirect,1,0.3335,Unstable,test,train,train,train,train
mp-559423,,3.3148,Direct,0,0.241,Unstable,train,test,train,train,train
mp-555728,,2.1838,Indirect,1,0.3984,Unstable,train,train,train,val,test
mp-601202,,5.7664,Direct,0,0.1694,Unstable,train,train,train,test,train
mp-1202925,,2.6963,Indirect,1,0.2882,Unstable,test,train,train,train,val
mp-1201024,,2.5456,Indirect,1,0.145,Unstable,train,train,train,val,test
mp-1204104,,3.2777,Indirect,1,0.3264,Unstable,train,test,train,train,train
mp-1219693,,1.6573,Indirect,1,0.3159,Unstable,train,test,train,val,train
mp-33107,,1.1929,Indirect,1,0.4391,Unstable,test,val,val,val,train
mp-1203812,,4.9034,Indirect,1,0.0266,Stable,val,test,train,val,train
mp-1205247,MoSF4,2.8691,Direct,0,0.1439,Unstable,train,test,train,val,train
mp-28113,WSF4,3.3183,Direct,0,0.1419,Unstable,train,train,test,train,train
mp-560960,ReSF4,0.3651,Indirect,1,0.0063,Stable,train,train,train,train,test
mp-1182437,,3.6381,Indirect,1,0.1476,Unstable,train,val,train,train,test
mp-1201734,,0.4207,Indirect,1,0.1937,Unstable,train,test,train,train,train
mp-1214213,,3.5712,Indirect,1,0.1489,Unstable,train,test,train,val,train
mp-555436,,4.3527,Direct,0,0.1284,Unstable,train,test,train,train,train
mp-555888,,6.1791,Indirect,1,0.2112,Unstable,test,val,train,train,val
mp-557161,Ba4Fe3(S3F2)2,1.2306,Direct,0,0.1462,Unstable,train,train,train,val,test
mp-1105132,,2.348,Indirect,1,0.1497,Unstable,train,train,test,train,train
mp-1179346,,0.2935,Direct,0,0.9829,Unstable,train,test,val,train,train
mp-554285,Na15S5Cl(O5F)4,4.9473,Indirect,1,0.0008,Stable,train,train,train,test,train
mp-1194736,Na5Mn3S4(O4F)4,1.7777,Direct,0,0.0,Stable,train,train,train,test,train
mp-1201750,,5.3274,Indirect,1,0.0356,Stable,train,test,train,train,train
mp-1214776,,2.1892,Indirect,1,0.1244,Unstable,train,val,test,train,train
mp-679630,Ba2BeS(OF)4,3.816,Indirect,1,0.5561,Unstable,train,train,train,test,train
mp-1199018,Ba4CrGa2(S3F2)2,2.1491,Indirect,1,0.0499,Stable,test,train,train,train,train
mp-1204862,Ba4Ga2Fe(S3F2)2,2.4483,Direct,0,0.1546,Unstable,train,train,train,test,train
mp-1204819,Ba4MnIn2(S3F2)2,2.0034,Indirect,1,0.1535,Unstable,test,train,train,train,train
mp-1197784,Ba4MnGa2(S3F2)2,2.9405,Indirect,1,0.0,Stable,test,val,train,train,train
mp-559029,,4.928,Indirect,1,0.3049,Unstable,val,train,val,test,train
mp-849783,,2.2385,Indirect,1,0.0978,Stable,test,train,val,train,train
mp-555250,,3.1765,Indirect,1,0.2529,Unstable,train,train,test,train,val
mp-1215373,,4.5471,Indirect,1,0.0994,Stable,train,train,train,train,test
mp-1195164,,3.1191,Indirect,1,0.0,Stable,train,train,test,train,train
mp-28555,RbSF5,4.7124,Direct,0,0.0,Stable,test,train,train,val,val
mp-1046702,MgCrSF5,1.2534,Indirect,1,0.2363,Unstable,train,train,train,train,test
mp-1046709,ZnCrSF5,1.2455,Indirect,1,0.1985,Unstable,test,train,train,train,train
mp-1046747,MgVSF5,0.2898,Indirect,1,0.379,Unstable,val,train,test,val,train
mp-1323771,MgCrSF5,0.0512,Indirect,1,3.0918,Unstable,train,train,test,train,val
mp-559296,AsS4N4F5,1.7123,Indirect,1,0.2687,Unstable,train,train,val,train,test
mp-555255,SbSNF5,2.2156,Indirect,1,0.1002,Unstable,test,train,train,train,train
mp-558254,AsS4N4F5,1.92,Indirect,1,0.2686,Unstable,train,train,train,test,train
mp-560066,SbSO2F5,3.4487,Indirect,1,0.0362,Stable,test,train,val,val,train
mp-555513,,2.9355,Indirect,1,0.3873,Unstable,train,test,train,train,train
mp-1216106,Y3SOF5,3.5401,Direct,0,0.0092,Stable,train,val,test,train,train
mp-1217635,Tb3SOF5,3.588,Direct,0,0.0054,Stable,train,val,test,train,train
mp-1220289,Nd3SOF5,3.4275,Direct,0,0.0318,Stable,val,test,train,train,train
mp-1219205,Sm3SOF5,3.5041,Direct,0,0.0008,Stable,train,train,train,val,test
mp-1224058,Ho3SOF5,3.6385,Direct,0,0.0102,Stable,train,test,train,train,train
mp-1224717,Gd3SOF5,1.9623,Indirect,1,0.0,Stable,train,train,train,train,test
mp-1225346,Dy3SOF5,3.6131,Direct,0,0.0063,Stable,train,train,test,train,train
mp-560409,,2.1438,Direct,0,0.1498,Unstable,train,train,test,train,train
mp-556223,,5.4516,Indirect,1,0.423,Unstable,train,test,train,val,train
mp-562018,,4.3341,Indirect,1,0.5163,Unstable,train,val,test,train,val
mp-1212674,,2.8104,Indirect,1,0.2302,Unstable,val,test,train,train,val
mp-559455,,3.4412,Indirect,1,0.1215,Unstable,val,train,val,val,test
mp-1182745,,2.4838,Indirect,1,0.4684,Unstable,train,test,val,train,train
mp-1214114,,4.0393,Indirect,1,0.1989,Unstable,test,train,train,train,train
mp-672266,,4.0702,Indirect,1,0.2631,Unstable,val,train,test,train,train
mp-554876,,2.8314,Indirect,1,0.1899,Unstable,test,train,val,train,train
mp-696078,,5.0454,Indirect,1,0.0,Stable,train,train,val,test,train
mp-699555,,2.0408,Indirect,1,0.6032,Unstable,train,train,train,test,train
mp-707845,,0.9258,Direct,0,0.0621,Stable,val,train,val,train,test
mp-555067,,1.5258,Indirect,1,0.2651,Unstable,train,test,train,train,train
mp-975,,5.9124,Indirect,1,0.0,Stable,train,test,train,train,train
mp-8652,,5.9243,Direct,0,0.0003,Stable,train,train,test,train,train
mp-642824,,5.9606,Indirect,1,0.0019,Stable,test,train,train,train,train
mp-8560,,5.8139,Direct,0,0.0089,Stable,test,train,train,train,train
mp-1013726,Cd4SF6,2.1914,Direct,0,0.0266,Stable,train,val,test,train,train
mp-1214118,,4.0187,Indirect,1,0.3145,Unstable,test,train,train,train,train
mp-27578,As(S2F3)2,1.2407,Indirect,1,0.0,Stable,train,test,train,train,train
mp-1021490,Sn4SF6,2.6861,Indirect,1,0.0438,Stable,train,train,val,test,train
mp-1207067,,3.2434,Indirect,1,1.1791,Unstable,val,val,test,train,train
mp-1021492,Cd4SF6,0.7836,Direct,0,0.0277,Stable,test,train,val,train,train
mp-1013750,Sn4SF6,2.5945,Direct,0,0.0446,Stable,train,train,train,val,test
mp-1214177,,4.3393,Indirect,1,0.5616,Unstable,train,train,train,train,test
mp-12368,SbS2NF6,2.6713,Direct,0,0.0961,Stable,train,test,val,val,train
mp-8500,AsS2NF6,2.608,Indirect,1,0.1084,Unstable,train,test,train,train,val
mp-560180,AsS4N5F6,2.5059,Indirect,1,0.3528,Unstable,train,test,train,train,train
mp-555288,SbS(BrF2)3,2.532,Indirect,1,0.0,Stable,test,val,val,train,train
mp-556050,,2.2575,Indirect,1,0.0769,Stable,test,train,val,train,train
mp-558466,AsS(BrF2)3,2.5087,Indirect,1,0.0,Stable,test,train,train,train,train
mp-560042,AsS3(NF3)2,1.5036,Indirect,1,0.1717,Unstable,train,train,val,train,test
mp-556837,AgAs(S8F3)2,2.765,Indirect,1,0.0,Stable,train,test,val,train,train
mp-557628,AsS(IF3)2,1.1714,Indirect,1,0.0,Stable,train,train,test,train,train
mp-558583,AsS6N5F6,1.8088,Direct,0,0.366,Unstable,val,train,test,val,train
mp-559602,AgSb(S8F3)2,2.7813,Indirect,1,0.0,Stable,train,test,train,train,train
mp-555194,SiHg3(SF3)2,2.7984,Indirect,1,0.0,Stable,train,train,test,train,train
mp-555408,SbS7IF6,2.0126,Direct,0,0.1996,Unstable,train,train,val,test,train
mp-555457,,4.0479,Indirect,1,0.0,Stable,train,test,train,train,train
mp-556705,AsS(ClF2)3,3.7948,Indirect,1,0.0,Stable,val,test,train,train,train
mp-560639,SbS(BrF2)3,2.6548,Indirect,1,0.0012,Stable,train,train,train,val,test
mp-2932665,Cu2Hg2SF6,0.4967,Indirect,1,0.0,Stable,train,train,val,train,test
mp-554289,AsS3(NF3)2,0.5875,Indirect,1,0.1838,Unstable,val,val,train,train,test
mp-637112,AsS7IF6,1.8307,Indirect,1,0.1855,Unstable,train,train,test,train,train
mp-1246700,Ca2Ni2SF6,3.2989,Direct,0,0.4363,Unstable,train,train,test,train,train
mp-541145,,3.0337,Direct,0,0.3055,Unstable,val,test,train,train,train
mp-560107,SbAs3(S2F3)2,2.4223,Indirect,1,0.0458,Stable,train,train,train,test,train
mp-683956,SbSNF6,3.3498,Indirect,1,0.1398,Unstable,train,train,train,train,test
mp-769588,Li3V2S2(O4F3)2,1.0429,Indirect,1,0.0725,Stable,train,train,train,train,test
mp-2217837,MgSbS2NF6,0.6807,Indirect,1,0.412,Unstable,train,train,train,val,test
mp-1199019,AgSbS(OF3)2,2.5554,Indirect,1,0.0,Stable,train,train,train,test,train
